Thinking Process:

1.  **Analyze the Request:**
    *   **Goal:** Create a self-contained bash script for per-sample variant calling on mitochondrial DNA (chrM) amplicon data.
    *   **Inputs:** `data/raw/` contains FASTQ files, `data/ref/` contains `chrM.fa`.
    *   **Outputs:** `results/{sample}.bam`, `.bai`, `{sample}.vcf.gz`, `.tbi`, and a collapsed table `collapsed.tsv`.
    *   **Constraints:**
        *   First line: `#!/usr/bin/env bash`
        *   Second line: `set -euo pipefail`
        *   Idempotent (skip if outputs exist).
        *   No absolute paths, no hardcoded user home dirs.
        *   Use only tools in TOOL_INVENTORY (`bwa`, `samtools`, `bcftools`, `tabix`, `lofreq`, etc.).
        *   Total time < 600s at THREADS=4.
        *   No prose output to stdout/stderr (except tool logs).
    *   **Specific Tool Usage:**
        *   Reference indexing (`samtools faidx` + `bwa index`).
        *   Alignment: `bwa mem -t 4 ...`. Crucial detail on Read Group string format for BWA v0.7.x/1.x (literal `\t`, not real tabs). The prompt specifies `-R "@RG\tID:{sample}\tSM:{sample}\tLB:{sample}\tPL:ILLUMINA"` where `\t` is literal backslash-t because bwa rejects real tabs in the RG line for this specific version/context described.
        *   Sorting: `samtools sort`. No markdup/rmdup.
        *   Indexing BAM: `samtools index`.
        *   Calling: `lofreq call-parallel --pp-threads 4 ... results/{sample}.bam` (positional arg at end).
        *   Compression/Tabix: `bgzip`, `tabix -p vcf`. Remove uncompressed VCF.
        *   Collapse: `bcftools query` with specific format string, prepend header, concatenate samples.

2.  **Idempotency Logic:**
    *   Need to check if outputs exist before running steps.
    *   For per-sample steps (alignment -> vcf), checking the final `.vcf.gz.tbi` is usually sufficient as it depends on all previous steps for that sample. If `results/{sample}.vcf.gz.tbi` exists, skip alignment/calling/compression/indexing for that sample? Wait, if I run this script again later and files are newer than inputs (e.g., reference changed), but the prompt says "rerunning on a populated results/ directory must exit 0 without redoing work".
    *   Safest approach: Check existence of `results/{sample}.vcf.gz.tbi` to skip per-sample processing. If it exists, assume BAM/VCF are valid and up-to-date relative to the script's logic (since inputs haven't changed in this context). However, strict idempotency usually means "if output exists, don't regenerate".
    *   For reference indexing: Check if `data/ref/chrM.fa.fai` or `.amb/.bwt` exist. If yes, skip BWA/samtools faidx steps? The prompt says "Skip both if the index files already exist." So check for BAM/BWT etc in data/ref/.
    *   For collapsed.tsv: Check existence before regenerating.

3.  **BWA Read Group String:**
    *   Prompt specifies: `-R "@RG\tID:{sample}\tSM:{sample}\tLB:{sample}\tPL:ILLUMINA"` where `\t` is literal backslash-t (`\t`).
    *   Wait, the prompt says "The \t must remain the two characters backslash and t — bwa parses them itself. Do NOT use printf...". This implies I need to write a string like `@RG\tID:sample`. In bash, `\t` inside double quotes is usually interpreted as tab by some shells but BWA v0.7.x often requires literal escape sequences or specific handling if it's strict about "literal <tab> characters" in the input stream vs internal representation.
    *   Actually, standard `bwa mem -R "@RG\tID:..."` where `\t` is a backslash followed by 't' (4 chars) works for BWA v0.x to avoid interpreting it as a tab character which might break parsing if not expected? Or does the prompt mean I should literally type `@RG\\t...` so that bash sees `\t` and passes it as two characters?
    *   Re-reading: "The \t must remain the two characters backslash and t — bwa parses them itself. Do NOT use printf, echo -e..."
    *   In a standard shell script with `set -euo pipefail`, if I write `-R "@RG\tID:...` inside double quotes, bash interprets `\t` as tab (unless escaped). To pass literal backslash-t to BWA, I need to escape the backslash: `"@RG\\t..."`.
